run_id,job,runner_labels,job_s,step,step_s
35435246033,"msrv (1.85.0, ubuntu)",ubuntu-latest,28.0,Set up job,1.0
35435246033,"msrv (1.85.0, ubuntu)",ubuntu-latest,28.0,Run actions/checkout@v7,0.0
35435246033,"msrv (1.85.0, ubuntu)",ubuntu-latest,28.0,Install Rust 1.85.0,8.0
35435246033,"msrv (1.85.0, ubuntu)",ubuntu-latest,28.0,Check on the advertised MSRV,16.0
35435246033,"msrv (1.85.0, ubuntu)",ubuntu-latest,28.0,Post Run actions/checkout@v7,1.0
35435246033,"msrv (1.85.0, ubuntu)",ubuntu-latest,28.0,Complete job,0.0
35435246033,test windows-11-arm,windows-11-arm,223.0,Set up job,1.0
35435246033,test windows-11-arm,windows-11-arm,223.0,Run actions/checkout@v7,8.0
35435246033,test windows-11-arm,windows-11-arm,223.0,Install Rust,5.0
35435246033,test windows-11-arm,windows-11-arm,223.0,Install DuckDB CLI (Unix),0.0
35435246033,test windows-11-arm,windows-11-arm,223.0,Install DuckDB CLI (Windows),1.0
35435246033,test windows-11-arm,windows-11-arm,223.0,Verify DuckDB,1.0
35435246033,test windows-11-arm,windows-11-arm,223.0,Test,200.0
35435246033,test windows-11-arm,windows-11-arm,223.0,Doc tests,1.0
35435246033,test windows-11-arm,windows-11-arm,223.0,Post Run actions/checkout@v7,4.0
35435246033,test windows-11-arm,windows-11-arm,223.0,Complete job,0.0
35435246033,test ubuntu-latest,ubuntu-latest,119.0,Set up job,0.0
35435246033,test ubuntu-latest,ubuntu-latest,119.0,Run actions/checkout@v7,2.0
35435246033,test ubuntu-latest,ubuntu-latest,119.0,Install Rust,0.0
35435246033,test ubuntu-latest,ubuntu-latest,119.0,Install DuckDB CLI (Unix),1.0
35435246033,test ubuntu-latest,ubuntu-latest,119.0,Install DuckDB CLI (Windows),0.0
35435246033,test ubuntu-latest,ubuntu-latest,119.0,Verify DuckDB,0.0
35435246033,test ubuntu-latest,ubuntu-latest,119.0,Test,112.0
35435246033,test ubuntu-latest,ubuntu-latest,119.0,Doc tests,0.0
35435246033,test ubuntu-latest,ubuntu-latest,119.0,Post Run actions/checkout@v7,1.0
35435246033,test ubuntu-latest,ubuntu-latest,119.0,Complete job,0.0
35435246033,doc (ubuntu),ubuntu-latest,20.0,Set up job,1.0
35435246033,doc (ubuntu),ubuntu-latest,20.0,Run actions/checkout@v7,1.0
35435246033,doc (ubuntu),ubuntu-latest,20.0,Install Rust,0.0
35435246033,doc (ubuntu),ubuntu-latest,20.0,Rustdoc (deny warnings),16.0
35435246033,doc (ubuntu),ubuntu-latest,20.0,Post Run actions/checkout@v7,0.0
35435246033,doc (ubuntu),ubuntu-latest,20.0,Complete job,0.0
35435246033,test windows-latest,windows-latest,199.0,Set up job,0.0
35435246033,test windows-latest,windows-latest,199.0,Run actions/checkout@v7,4.0
35435246033,test windows-latest,windows-latest,199.0,Install Rust,4.0
35435246033,test windows-latest,windows-latest,199.0,Install DuckDB CLI (Unix),0.0
35435246033,test windows-latest,windows-latest,199.0,Install DuckDB CLI (Windows),2.0
35435246033,test windows-latest,windows-latest,199.0,Verify DuckDB,0.0
35435246033,test windows-latest,windows-latest,199.0,Test,184.0
35435246033,test windows-latest,windows-latest,199.0,Doc tests,0.0
35435246033,test windows-latest,windows-latest,199.0,Post Run actions/checkout@v7,2.0
35435246033,test windows-latest,windows-latest,199.0,Complete job,0.0
35435246033,test macos-latest,macos-latest,200.0,Set up job,0.0
35435246033,test macos-latest,macos-latest,200.0,Run actions/checkout@v7,3.0
35435246033,test macos-latest,macos-latest,200.0,Install Rust,0.0
